楽曲ID,難易度ID,ID_DifN,ノーツ数,譜面再生時間,累計基礎係数,s1係数,s2係数,s3係数,s4係数,s5係数,s6係数,s外係数,s6前s外係数,s1始点,s1終点,s2始点,s2終点,s3始点,s3終点,s4始点,s4終点,s5始点,s5終点,s6始点,s6終点,SF始点,SF終点,s1係数(CB無),s2係数(CB無),s3係数(CB無),s4係数(CB無),s5係数(CB無),s6係数(CB無),s外係数(CB無)
430,2,430_2,338,122.92683,210.2,11.6,5.5,12.19,9.696,2.02,11.526,160.126,97.126,9,23,55,73,97,108,141,155,171,181,205,218,203,235,11.6,5.5,12.1,9.6,2,11.3,158.1
430,3,430_3,495,122.92683,430.1,18.6,8.975,21.513,18.972,2.04,29.561,338.793,207.431,32,51,96,119,155,174,224,243,266,276,322,347,318,367,18.6,8.9,21.3,18.6,2,28.7,332
430,4,430_4,742,122.92683,652.7,29.3,25.452,29.886,30.179,12.688,45.465,501.229,341.406,53,91,165,198,261,288,349,387,425,447,547,582,542,615,29.3,25.2,29.3,29.3,12.2,43.3,484.1
430,5,430_5,1071,122.92683,778.8,39.682,16.83,41.303,41.08,12.81,53.424,607.463,398.467,79,120,202,238,318,360,441,482,520,542,630,670,623,727,39.5,16.5,40.1,39.5,12.2,50.4,580.6
431,1,431_1,236,122.0339,96.1,3,3.1,6.3,5.05,3.131,5.05,71.231,45.542,31,33,39,60,93,100,111,115,123,144,178,182,177,198,3,3.1,6.3,5,3.1,5,70.6
431,2,431_2,294,122.0339,185.8,5.3,4.6,13.615,10.1,3.131,15.3,135.683,88.355,21,28,47,65,100,113,134,143,162,183,228,239,226,254,5.3,4.6,13.5,10,3.1,15,134.3
431,3,431_3,543,122.0339,315.1,11,9.09,23.766,19.278,7.004,23.92,228.27,157.299,70,78,119,134,205,222,251,276,309,340,420,436,415,468,11,9,23.3,18.9,6.8,23,223.1
431,4,431_4,694,122.0339,515.8,13.473,17.657,33.966,27.501,17.368,38.01,385.053,253.008,85,116,191,211,271,296,337,368,433,455,530,556,526,595,13.4,17.4,33.3,25.7,16.7,36.2,373.1
431,5,431_5,893,122.0339,745.3,26.23,18.36,32.857,23.504,17.22,34.15,624.235,412.022,98,139,232,267,360,391,444,486,548,585,682,715,676,765,26,18,31.9,20.6,16.4,32.1,600.3
432,1,432_1,155,133.33333,124.4,3,3,7,6.31,6.363,3.03,96.076,90.319,23,25,39,41,57,62,93,101,115,123,140,142,91,104,3,3,7,6.3,6.3,3,95.8
432,2,432_2,361,133.33333,301.7,14,6.06,17.271,13.566,13.566,14.42,226.664,204.004,52,63,102,107,126,141,223,247,275,299,330,341,219,252,14,6,17.1,13.3,13.3,14,224
432,3,432_3,478,133.33333,564.4,21,11.11,29.401,25.803,39.346,21.84,426.855,389.415,63,81,132,142,178,201,297,320,363,389,431,447,289,335,21,11,29.1,25.1,38.2,21,419
432,4,432_4,714,133.33333,735.6,23.432,23.46,41.208,36.816,47.565,28.832,557.46,510.036,105,127,201,217,263,300,451,485,546,579,629,659,439,509,23.2,23,40.4,35.4,45.3,27.2,541.1
432,5,432_5,955,133.33333,893.7,37.37,28.218,49.088,28.62,38.948,50.976,699.655,611.052,120,154,262,312,409,449,622,653,724,756,835,877,612,706,37,27.6,47.2,27,36.4,47.2,671.3
433,1,433_1,217,128.95522,146.2,3.7,3,7,6.3,7.676,6.06,113.398,93.408,7,16,29,31,45,50,66,74,151,163,195,197,149,169,3.7,3,7,6.3,7.6,6,112.6
433,2,433_2,382,128.95522,252.5,8,6.9,12.12,12.12,11.322,9.27,196.447,165.238,48,54,68,82,118,128,151,162,255,266,310,312,252,289,8,6.9,12,12,11.1,9,193.5
433,3,433_3,655,128.95522,579.5,23,27.977,24.644,15.198,34.008,23.34,447.954,362.412,58,74,102,160,191,220,278,300,433,483,592,601,428,492,23,27.7,24.3,14.9,32.7,22.2,434.7
433,4,433_4,1053,128.95522,965.4,23.982,21.9,36.05,51.272,50.202,33.175,796.983,660.642,92,129,189,232,301,342,432,475,677,725,890,939,665,768,23.8,21.5,35,49.3,47.1,30.5,758.2
433,5,433_5,1116,128.95522,1117.4,25.093,38.942,43.878,52.376,58.85,59.874,897.661,741.441,93,130,197,254,330,373,461,510,755,795,959,1004,743,853,24.9,38.2,42.6,50.3,55,54.9,851.5
434,1,434_1,106,108,68.5,3,3,4,5.3,3,5.3,44.915,28.7,18,20,23,25,29,31,37,44,54,56,63,70,62,71,3,3,4,5.3,3,5.3,44.9
434,2,434_2,236,108,195.6,7.7,10.2,11.1,11.312,9.292,10.201,137.299,94.182,13,26,52,62,81,90,104,115,140,150,178,187,176,198,7.7,10.2,11.1,11.2,9.2,10.1,136.1
434,3,434_3,500,108,365.7,17.2,17.4,22.523,14.256,24.48,17.819,258.593,199.645,26,44,78,96,146,163,195,217,268,287,377,396,373,422,17.2,17.4,22.3,14,24,17.3,253.5
434,4,434_4,673,108,559.4,21.9,27.775,35.19,29.314,24.703,28.625,408.203,280.737,41,79,116,145,206,234,284,314,387,414,497,535,489,554,21.9,26.5,32.5,24.6,23.9,26.3,403.7
434,5,434_5,757,108,659.9,30.301,33.936,40.29,37.492,21.424,30.226,488.382,340.331,62,101,148,182,240,282,336,373,440,478,592,625,583,657,30.3,32.6,37.5,34.4,20.6,27.6,476.9
435,1,435_1,317,150.47164,147.6,8,4,8,4.141,7.242,7.242,110.414,101.496,9,15,29,32,73,79,152,183,220,227,268,291,218,248,8,4,8,4.1,7.1,7.1,109.3
435,2,435_2,440,150.47164,357.4,14,15.2,15.15,12.75,13.39,12.925,280.675,236.871,17,29,80,94,177,189,253,267,322,334,382,403,318,361,14,15.2,15,12.5,13,12.5,275.2
435,3,435_3,738,150.47164,594.7,19.9,26.967,13.961,18.72,20.79,21.412,493.128,427.448,34,78,171,199,292,326,428,443,521,552,644,677,509,580,19.9,26.7,13.6,18,19.8,20.2,476.5
435,4,435_4,960,150.47164,995,43,34.158,47.174,28.35,43.46,28.08,815.906,694.497,41,90,190,224,341,387,538,562,657,693,823,860,645,740,43,33.6,45.8,27,41,26,778.6
435,5,435_5,1203,150.47164,1299.9,45.02,41.616,56.16,37.32,45.36,32.67,1116.097,998.397,60,102,231,274,449,487,690,722,847,884,1053,1100,835,954,45,40.8,54,35,42,29.7,1053.4
436,1,436_1,174,118.28571,115.5,4,3,3,6.4,7.07,5.454,87.058,72.514,19,21,27,29,35,37,71,80,109,114,129,146,69,85,4,3,3,6.4,7,5.4,86.7
436,2,436_2,409,118.28571,252.2,10,8.1,9.494,11.005,13.464,9.476,194.274,164.995,12,20,55,81,101,122,199,216,285,298,330,349,195,234,10,8.1,9.4,10.8,13.2,9.2,191.5
436,3,436_3,615,118.28571,506.3,24.7,21.685,13.534,24.102,23.92,33.18,378.936,306.477,42,68,98,123,168,193,308,332,431,463,513,548,299,359,24.7,21.5,13.4,23.4,23,31.6,368.7
436,4,436_4,823,118.28571,792.1,39,36.663,29.274,36.92,33.63,37.834,607.012,500.716,45,86,148,186,250,284,413,448,582,618,675,714,401,482,39,36.3,28.7,35.5,31.9,35.6,585.1
436,5,436_5,974,118.28571,870.8,45.4,34.34,31.604,41.573,38.306,39.744,677.389,555.781,46,88,156,198,267,314,488,531,710,756,828,859,472,567,45.4,34,30.9,39.7,35.8,36.8,648.2
437,1,437_1,189,106.25,139,6,7.4,6,5.757,12.524,9.09,92.95,85.375,13,17,39,57,75,79,106,117,132,143,164,169,130,147,5,5.4,5,4.7,10.4,8,100.5
437,2,437_2,378,106.25,277.6,13.4,15.029,16.16,8.874,19.992,17.51,190.844,173.849,37,52,100,123,155,164,224,247,281,299,342,352,277,313,12.4,12.9,15,7.7,17.6,16,196
437,3,437_3,521,106.25,531.3,21.846,38.582,30.804,26.353,29.973,26.624,369.098,333.174,94,120,170,193,241,261,295,318,359,385,450,470,354,405,20.7,35.2,28.2,23.6,28.1,24.6,370.9
437,4,437_4,838,106.25,866,36.158,50.388,56.444,45.864,49.291,57.031,603.659,539.711,122,163,239,271,350,390,449,494,579,623,727,762,571,651,34.8,46.4,50.8,42.1,44.7,51.3,595.9
437,5,437_5,1028,106.25,1151.8,46.299,103.309,67.42,42.691,67.731,53.369,823.973,736.898,166,216,319,371,474,518,577,622,707,762,892,932,697,798,44.7,97.3,60.5,38.5,61.3,47.1,802.4
438,1,438_1,237,123.47826,116.2,3,3,4.3,7.664,7.676,8.08,83.297,63.199,37,39,45,47,67,82,98,109,124,135,167,173,165,186,3,3,4.3,7.6,7.6,8,82.7
438,2,438_2,321,123.47826,232.4,10,10.5,10.403,12.625,9.605,10.71,171.368,133.322,39,47,74,88,116,128,156,169,188,201,242,256,238,268,10,10.5,10.3,12.5,9.5,10.5,169.1
438,3,438_3,532,123.47826,414.2,18,22.523,19.493,19.074,19.261,20.488,304.299,247.952,59,70,111,134,177,198,243,263,303,323,415,436,407,458,18,21.3,18.3,17.7,17.7,18.7,302.5
438,4,438_4,764,123.47826,773.5,42.1,31.512,23.562,41.715,43.16,40.916,575.791,463.064,78,107,164,195,257,289,351,385,446,481,602,635,588,662,41,29.2,22.1,39.5,40.5,37.6,563.6
438,5,438_5,898,123.47826,953.8,43.632,34.884,36.153,48.256,48.72,58.893,721.668,548.913,102,143,208,243,309,344,405,444,514,553,685,725,669,756,42.2,33.2,34.1,44.4,44.4,53.2,702.3
439,1,439_1,414,112.5,116.9,4.8,5.05,5.05,8.787,7.21,7.21,80.707,77.182,75,86,122,126,130,134,176,190,307,313,373,379,174,213,4.8,4,4,7.7,6,6,84.4
439,2,439_2,410,112.5,191.3,9.4,9.696,9.696,11.452,8.578,9.27,136.258,132.737,87,99,111,125,139,153,190,212,283,301,367,375,186,226,9.4,8.6,8.6,10.3,7.4,8,139
439,3,439_3,804,112.5,542,19.594,17.34,26.346,31.2,36.252,25.894,407.347,400.466,163,182,206,231,262,312,418,439,620,649,749,771,414,491,19.4,16,23.8,28,33.2,23.2,398.4
439,4,439_4,941,112.5,916.2,31.31,33.456,42.642,60.006,56.282,54.216,683.886,631.873,144,181,213,258,301,348,471,509,704,744,866,900,463,557,31,29.8,37.4,55.6,50.6,48.2,663.6
439,5,439_5,1141,112.5,1173.9,45.45,46.41,46.865,75.915,71.604,81.62,869.128,836.018,138,182,229,275,320,366,535,586,838,888,1036,1087,519,632,45,42.5,42.5,68.3,64.3,72.2,839.1
439,6,439_6,1496,112.5,979.4,55.725,34.554,37.932,57.192,72.93,38.17,747.26,700.84,139,212,274,335,394,464,654,723,1047,1124,1322,1404,638,786,55,31.7,35.5,51.8,64.3,32.7,708.4
440,1,440_1,395,118.90909,160.4,5,11.3,9.494,5.959,5.916,10.609,114.348,76.856,27,31,73,85,103,115,159,190,226,256,306,318,304,342,5,11.3,9.4,5.9,5.8,10.3,112.7
440,2,440_2,544,118.90909,293.4,13.6,19.796,17.79,8.174,6.386,17.264,216.403,161.039,58,76,139,159,197,223,271,305,346,380,413,439,408,461,13.6,19.6,17.5,8,6.2,16.6,211.9
440,3,440_3,756,118.90909,490.5,15.019,22.338,34.093,23.69,6.864,26.88,377.775,264.283,98,129,210,242,301,333,374,397,448,485,537,587,530,603,14.9,21.9,33.1,23,6.6,25.6,365.4
440,4,440_4,1091,118.90909,751.8,27.32,42.127,49.712,48.577,7.05,34.28,580.05,400.305,143,205,315,363,448,495,582,632,699,736,791,831,785,893,27,40.9,47.8,46,6.6,31.8,551.7
440,5,440_5,1220,118.90909,996.5,36.702,48.901,54.075,64.398,30.888,53.725,763.947,538.051,159,223,380,439,525,574,667,727,801,834,888,933,882,1004,36.2,47.2,51.5,60.5,28.6,49.4,723.1
441,1,441_1,163,133.56522,96.2,3,3.9,6,3.1,2,5.252,73.34,52.736,5,7,13,24,49,53,78,81,96,97,136,142,134,149,3,3.9,6,3.1,2,5.2,73
441,2,441_2,240,133.56522,185.7,7,5.9,9,9.09,7.07,8.383,140.727,100.631,10,15,32,45,71,78,110,115,142,148,190,200,187,210,7,5.9,9,9,7,8.3,139.5
441,3,441_3,612,133.56522,466.4,16,22.422,20.865,16.32,18.025,18.411,366.135,281.706,27,50,103,125,186,214,286,298,354,375,474,503,459,517,16,22.2,20.6,16,17.5,17.7,356.4
441,4,441_4,865,133.56522,792.2,30.4,33.532,40.902,35.02,28.458,36.676,616.05,464.065,37,68,138,170,246,274,366,395,489,517,641,675,629,713,30.4,33.2,40.1,34,27.2,34.6,592.7
441,5,441_5,1048,133.56522,906.4,36.4,32.643,44.969,23.712,36.487,43.892,729.391,551.038,54,92,181,213,297,334,435,471,590,646,788,829,771,874,36.4,32.2,43.7,22.8,34.5,40.8,696
441,6,441_6,1120,133.56522,928.1,18.403,31.998,47.174,59.61,28.09,61.236,729.009,503.902,64,103,200,239,322,363,483,524,635,674,820,871,800,911,18.4,31.4,45.8,57,26.5,56.7,692.3
442,1,442_1,139,94.88372,87.9,4.3,4,4.3,8.2,7.423,4.343,55.508,50.155,15,21,29,32,45,51,67,76,95,105,125,131,65,77,4.3,4,4.3,8.2,7.4,4.3,55.4
442,2,442_2,169,94.88372,140,8,4.8,6.4,10.302,9.191,8.181,93.81,82.397,15,22,34,45,65,74,103,112,130,139,150,158,101,116,8,4.8,6.4,10.2,9.1,8.1,93.4
442,3,442_3,360,94.88372,274.9,15.1,11.4,12.726,14.28,23.46,15.45,186.327,163.152,35,58,81,95,126,143,201,222,259,280,312,333,195,229,15.1,11.4,12.6,14,23,15,183.8
442,4,442_4,521,94.88372,508.4,25.7,19.594,21.553,26.142,39.966,26.832,360.197,319.173,53,81,115,137,181,204,299,326,378,409,455,485,291,340,25.7,19.4,21.3,25.4,38.7,25.8,352.1
442,5,442_5,595,94.88372,549.1,34.562,21.614,29.274,29.458,42.64,19.845,386.622,347.772,83,116,157,181,237,271,358,389,448,484,517,549,348,405,34.4,21.4,28.7,28.6,41,18.9,376.1
443,1,443_1,349,126.8206,167.6,5.5,6.9,9.09,13.736,4.567,8.16,121.994,73.158,9,18,27,50,111,118,141,164,196,213,263,270,261,293,5.5,6.9,9,13.6,4.5,8,120.1
443,2,443_2,428,126.8206,241.4,9.5,7.9,14.039,13.13,7.956,13.699,179.399,115.382,17,30,44,68,145,164,194,200,241,273,341,356,336,377,9.5,7.9,13.9,13,7.8,13.3,176
443,3,443_3,656,126.8206,493.7,23.5,19.998,22.803,26.928,18.54,25.792,368.698,244.356,39,65,103,128,194,224,276,300,345,366,459,485,449,513,23.5,19.8,22.4,26.4,18,24.8,358.8
443,4,443_4,1009,126.8206,854.3,38.53,34.965,41.369,54.8,37.1,45.475,641.096,441.213,84,132,198,242,360,412,500,537,618,644,749,797,739,839,38.3,34.3,40.1,52.2,35,42.5,611.9
443,5,443_5,1048,126.8206,909.9,45.884,39.984,43.524,44.31,31.8,54.919,692.506,483.633,94,151,227,275,386,439,537,572,662,692,789,837,778,881,45.5,39.2,42,42.2,30,51,660
444,1,444_1,256,158.04878,149.4,3.7,3,9.3,3,8.686,9.09,113.471,92.858,18,27,49,51,57,67,87,89,127,140,170,177,125,149,3.7,3,9.3,3,8.6,9,112.8
444,2,444_2,396,158.04878,270.4,9.7,9.626,12.221,6.666,11.424,12.363,212.313,174.904,33,48,94,108,135,146,175,186,240,252,292,303,236,274,9.7,9.6,12.1,6.6,11.2,12.1,209.1
444,3,444_3,879,158.04878,523.8,18.281,15.096,18.013,14.098,20.265,23.521,433.751,368.621,124,151,214,235,282,316,391,436,555,585,686,723,541,626,18.1,14.8,17.6,13.6,19.3,22.1,418.3
444,4,444_4,1221,158.04878,1021.7,31.512,23.381,41.496,28.054,40.342,48.397,865.008,696.228,148,189,306,352,434,481,592,640,796,836,962,1001,782,903,31.2,22.7,39.9,26.5,37.4,44.4,819.6
444,5,444_5,1383,158.04878,1244.7,43.045,26.325,51.92,55.382,50.903,63.03,1028.596,856.666,178,223,359,406,489,539,652,705,901,953,1108,1158,884,1021,42.4,25.5,49.6,52.2,46.7,57.3,971
446,1,446_1,231,158,140.4,3,6,7,5.833,6.06,6.12,107.396,95.054,6,8,50,54,76,81,94,106,161,166,203,208,160,181,3,5,6,5.8,5,5,110.6
446,2,446_2,369,158,196.8,5,8,12,3.939,11.22,8.549,150.241,131.598,10,14,53,59,77,86,107,127,239,249,322,332,236,269,5,7,11,3.9,10,7.3,152.6
446,3,446_3,707,158,467.9,15.2,20.604,9.078,22.66,7.306,21.518,385.38,345.623,28,62,191,211,261,285,335,356,484,508,606,628,476,543,15.2,19.3,8.9,20,7,19.3,378.2
446,4,446_4,1113,158,910.8,36,43.35,20.884,31.255,39.59,30.738,753.897,667.878,41,71,258,300,379,415,493,538,738,769,957,999,727,835,36,40.5,19.2,29.8,36,27.2,722.1
446,5,446_5,1253,158,1269.9,47.22,51.912,55.12,47.136,54,52.91,1031.791,918.051,59,102,316,360,449,494,589,632,826,870,1089,1132,812,936,47.2,48.4,52,42.6,49,47.1,983.6
447,1,447_1,329,139.2,157.7,5,7,6.625,8.16,7.14,5.1,120.613,106.871,52,56,75,81,87,107,205,212,250,256,289,293,203,233,5,7,6.6,8,7,5,119.1
447,2,447_2,479,139.2,267.1,11,10.633,9.696,13.158,14.317,11.33,201.226,175.025,56,64,92,106,120,134,228,248,301,321,377,387,224,270,11,10.6,9.6,12.9,13.9,11,198.1
447,3,447_3,861,139.2,794.6,21.513,34.476,34.845,42.64,51.24,38.102,601.468,513.463,122,141,219,255,295,331,430,465,552,588,679,717,420,505,21.3,33.8,33.9,41,48.8,35.8,580
447,4,447_4,1392,139.2,1200.9,48.756,48.314,47.894,55.533,70.85,62.48,941.886,812.856,201,251,392,444,494,549,745,798,937,990,1140,1191,732,870,47.8,46.6,45.7,51.9,65,56.8,887.1
447,5,447_5,1486,139.2,1409.5,47.98,60.606,57.174,73.36,75.77,81.4,1101.269,964.209,183,234,392,447,498,551,793,846,990,1042,1208,1273,780,926,47.2,58.4,54.5,68,69,74,1038.4
447,6,447_6,1794,139.2,1876.4,59.814,63.648,61.508,111.646,122.76,85.47,1505.878,1255.078,187,240,413,496,576,663,871,952,1148,1233,1494,1574,855,1034,58.8,61.2,58.2,102.8,110.6,77.7,1407.1
448,1,448_1,408,147.31034,148.1,5.4,7,6.444,10.18,9.588,6.867,104.579,88.587,9,26,72,78,99,108,199,208,239,251,294,306,196,234,5.4,7,6.4,10,9.4,6.7,103.2
448,2,448_2,595,147.31034,284.2,21.2,14.14,12.444,23.793,14.48,14.664,189.685,162.989,16,63,156,168,210,223,318,337,395,415,465,486,314,372,21.2,14,12.2,23.1,14,14.1,185.6
448,3,448_3,956,147.31034,654.6,54.2,32.421,24.507,23.816,31.588,41.088,472.494,338.042,36,67,144,192,290,330,456,500,606,649,745,776,440,532,54.2,32.1,23.9,22.9,29.8,38.4,453.3
448,4,448_4,1259,147.31034,914.2,33.2,49.399,39.683,53.318,49.147,68.79,670.524,529.244,48,87,183,234,373,414,612,660,792,840,956,1011,595,719,33.2,48.6,38.4,50.3,45.6,63,635.1
448,5,448_5,1352,147.31034,1279.3,81.7,52.428,50.336,58.458,77.071,76.34,954.237,763.717,44,94,213,266,412,460,693,752,890,942,1057,1114,675,808,81.7,51.4,48.4,54.7,70.8,69.4,902.9
448,6,448_6,1812,147.31034,1343.9,37.572,51.984,52.62,62.358,85.91,81.73,1074.201,850.131,103,175,377,444,650,714,966,1035,1229,1306,1446,1519,940,1119,37.2,50.2,49.5,57,78.1,74.3,997.6
449,1,449_1,579,157.40087,192.8,7.3,6.565,5.508,9.579,6.407,4.16,158.182,112.014,70,97,130,149,244,270,327,338,387,403,439,442,325,380,7.3,6.5,5.4,9.3,6.2,4,154.1
449,2,449_2,729,157.40087,310.4,7.777,6.222,5.587,13,10.92,6.36,272.295,206.908,118,149,223,256,381,407,470,495,542,564,611,614,466,536,7.7,6.1,5.4,12.5,10.4,6,262.3
449,3,449_3,1109,157.40087,591.9,10.908,8.874,7.529,30.74,34.942,8.79,523.495,383.463,113,157,264,296,488,523,618,674,774,803,880,915,608,716,10.8,8.7,7.2,29,32.6,8.1,495.5
449,4,449_4,1437,157.40087,1194.1,26.058,27.398,4.226,56.924,69.324,16.39,1069.597,773.917,154,186,315,351,588,624,730,782,912,971,1081,1144,714,856,25.8,26.6,4,53.2,63.6,14.9,1006
449,5,449_5,1460,157.40087,1457.9,14.996,24.724,29.68,73.519,82.734,12.65,1317.129,977.119,165,221,370,416,632,651,733,801,960,1026,1138,1166,717,861,14.8,23.9,28,68.7,75.6,11.5,1235.4
449,6,449_6,2500,157.40087,2077.5,31.561,52.188,7.26,81.18,117.81,31.02,1921.246,1416.016,242,307,575,656,1107,1171,1368,1466,1694,1796,1959,2061,1344,1594,30.9,49.4,6.6,73.8,107.1,28.2,1781.5
450,1,450_1,303,122.42424,173.1,5.7,5.5,10.1,11.11,10.019,9.486,123.175,90.003,11,22,60,87,104,112,152,160,185,202,244,255,242,271,5.7,5.5,10,11,9.9,9.3,121.7
450,2,450_2,478,122.42424,288,10.7,14.1,16.16,14.076,17.304,12.322,208.966,155.916,35,60,97,110,162,176,246,266,307,326,392,419,389,435,10.7,14,16,13.8,16.8,11.9,204.8
450,3,450_3,725,122.42424,719.9,28.381,25.35,31.722,33.99,36.4,24.91,562.446,445.022,107,132,186,210,275,295,369,397,457,481,613,645,608,679,27.1,25,31.1,33,35,23.5,545.2
450,4,450_4,986,122.42424,1108.9,44.44,44.88,52.733,36.75,54.166,42.316,883.266,718.14,138,175,249,290,377,410,536,567,633,668,799,844,791,886,42,44,51.1,35,51.1,39.2,846.5
450,5,450_5,1198,122.42424,1452.7,52.52,51.967,66.922,59.38,75.57,70.608,1156.192,930.012,141,185,286,339,460,505,652,702,798,847,987,1045,978,1097,50,50.6,64.3,56,70,64.3,1097.5
450,6,450_6,1403,122.42424,1537.1,53.52,54.178,70.42,55.907,104.858,78.76,1216.538,954.518,177,234,342,395,557,607,766,816,918,983,1156,1210,1144,1283,51.6,52.6,67,52.1,96.2,71.6,1146
451,1,451_1,194,119.34426,132.1,4.7,4,4,4,8.6,8.08,99.364,65.125,7,17,45,48,55,58,65,68,81,94,135,142,79,97,4.7,4,4,4,8.6,8,98.8
451,2,451_2,428,119.34426,189.8,8.6,8,6.767,5.757,12.24,7.253,144.286,99.693,13,26,57,64,104,125,150,179,233,244,277,311,231,272,8.6,8,6.7,5.7,12,7.1,141.7
451,3,451_3,696,119.34426,624.3,20.5,24.24,17.978,41.82,25.956,25.376,486.467,336.545,37,58,102,123,167,191,235,264,349,373,459,500,339,407,20.5,24,17.8,41,25.2,24.4,471.4
451,4,451_4,978,119.34426,1019.1,31.3,45.753,47.48,52.175,59.64,47.294,782.118,531.39,52,85,139,182,259,304,369,413,541,584,715,763,530,625,31.3,45.3,46.5,49.5,56.8,44.2,745.5
451,5,451_5,1197,119.34426,1245,29.3,58.8,62.83,69.82,64.804,65.17,964.266,652.039,59,99,169,222,318,373,453,512,659,706,884,933,645,762,29.3,58,60,66,61.1,60,910.6
452,1,452_1,236,116.17834,106.4,4,4,5.4,8.686,5.05,5.06,74.96,69.738,9,12,17,20,39,56,124,136,190,193,198,201,122,143,4,4,5.4,8.6,5,5,74.4
452,2,452_2,370,116.17834,278.6,18,10,13.13,16.899,10.76,18.54,195.38,171.381,26,39,55,64,102,123,195,214,284,305,326,339,189,224,18,10,13,16.6,10.5,18,192.5
452,3,452_3,699,116.17834,613.4,29.511,18.079,26.316,30.9,40.766,46.436,440.484,370.948,73,102,150,184,255,287,366,385,481,524,579,625,360,428,29.5,17.9,25.8,30,39,44,427.2
452,4,452_4,917,116.17834,883.5,47.47,27.948,36.05,48.7,46.694,48.372,665.528,569.958,113,160,222,261,322,365,499,535,665,709,775,829,489,579,47,27.4,35,46.4,44,45,638.7
452,5,452_5,1014,116.17834,928,49.49,45.696,47.666,50.495,28.891,32.335,714.55,628.417,124,173,242,293,362,407,572,613,779,816,873,921,559,659,49,44.8,46.2,47.9,26.9,29.8,683.4
454,1,454_1,198,123.2,103.1,4,8,6,4.527,3.939,7.373,69.739,49.64,13,16,39,45,61,64,92,118,130,141,152,161,151,168,4,8,6,4.5,3.9,7.3,69.4
454,2,454_2,417,123.2,249.3,9.1,18.18,13.534,10.812,3.876,16.068,181.214,135.859,58,67,104,116,151,173,208,232,260,270,306,323,304,343,9.1,18,13.4,10.6,3.8,15.6,178.8
454,3,454_3,663,123.2,481.5,22.08,18.242,10.537,17.098,11.024,29.648,385.863,280.743,87,108,182,207,259,312,367,397,434,448,485,508,482,546,21,18,10.3,16.6,10.6,28.4,376.6
454,4,454_4,927,123.2,680.5,29.694,35.343,19.581,24.726,16.527,37.557,543.84,390.764,142,174,267,305,371,430,492,529,592,628,701,741,694,785,28.4,33.6,18.9,23.6,15.6,35.1,525.3
454,5,454_5,1176,123.2,856.4,36.148,60.049,40.532,22.048,13.499,59.79,668.184,465.139,181,221,337,392,470,540,635,680,764,808,888,933,882,997,34.6,55.3,37.7,20.8,12.6,52,643.4
455,1,455_1,141,118.95652,89.2,3.7,3,3.7,2,5.3,6.06,65.744,48.17,8,17,28,30,48,57,68,69,77,84,106,110,76,89,3.7,3,3.7,2,5.3,6,65.5
455,2,455_2,229,118.95652,150.6,4.6,8,5.9,8.08,3.838,10.16,111.265,88.805,20,38,58,65,82,95,109,115,139,158,198,206,135,155,4.6,8,5.9,8,3.8,10,110.3
455,3,455_3,597,118.95652,376.5,12.311,18.18,13.749,15.81,13.596,22.096,290.319,229.484,79,102,142,159,198,224,266,284,368,400,483,512,362,419,12.3,18,13.5,15.5,13.2,21.2,282.8
455,4,455_4,844,118.95652,748.3,30.199,38.76,38.831,28.184,41.462,38.52,560.672,459.474,108,145,214,251,315,358,417,442,560,611,726,759,550,634,29.9,38,37.7,27.1,39.4,36,540.2
455,5,455_5,817,118.95652,744.6,31.714,36.72,28.737,27.144,40.215,33.826,573.762,469.468,120,154,210,245,308,361,414,438,539,579,683,719,532,612,31.4,36,27.9,26.1,38.3,31.8,553.1
456,1,456_1,245,121.73913,116.7,3.5,3.6,5.454,8.383,6.565,4.386,85.956,70.554,8,33,77,85,116,133,148,156,183,193,220,235,179,202,3.5,3.6,5.4,8.3,6.5,4.3,85.1
456,2,456_2,316,121.73913,220.3,5.3,12.341,5.454,16.16,10.812,7.14,166.073,131.073,22,38,91,105,135,152,175,186,233,248,282,297,228,258,5.3,12.3,5.4,16,10.6,7,163.7
456,3,456_3,610,121.73913,434,11.573,26.837,15.606,21.321,25.688,9.66,335.375,250.58,86,110,179,209,248,273,316,339,435,460,510,538,422,482,11.5,24.5,15.3,20.7,23.7,9.2,329.1
456,4,456_4,892,121.73913,738.8,22.166,37.434,18.952,42.224,46.322,19.902,581.778,455.576,92,122,228,270,340,369,436,478,619,659,755,795,599,687,22,35.7,18.4,38.6,41.7,18.6,563.8
456,5,456_5,998,121.73913,943.7,23.129,40.534,21.363,36.12,52.43,45.468,770.288,597.108,116,146,272,316,395,437,513,547,709,758,850,890,688,786,22.9,38.6,20.6,34.4,47,40.1,740.1
457,1,457_1,193,128,111.9,6,3.8,5.1,4.401,5.353,5.353,82.375,71.871,5,9,31,41,57,62,85,101,136,143,162,169,135,153,6,3.8,5.1,4.4,5.3,5.3,82
457,2,457_2,281,128,238,6,5.7,10.471,9.292,11.424,9.384,188.142,170.19,13,17,54,65,97,108,159,169,205,216,249,259,202,229,6,5.7,10.4,9.2,11.2,9.2,186.3
457,3,457_3,504,128,415.6,16,11.615,19.826,17.675,33.166,17.368,308.981,274.327,24,47,110,132,184,203,296,311,365,386,445,464,359,406,16,11.5,19.6,17.2,32.2,16.7,302.4
457,4,457_4,750,128,595.9,28.2,22.018,31.416,30.68,31.815,31.906,440.026,387.38,53,81,147,173,249,278,410,439,513,549,649,684,507,581,28.2,21.8,30.8,29.5,30.3,30.1,425.2
